Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Аварийная протечка с кровли,EDC,2022-02-19 14:00:04.000000,2022-02-19 15:30:50.295000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Аварийная протечка с кровли,EDC,2022-02-17 18:58:23.000000,2022-02-17 22:44:25.882000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Аварийная протечка с кровли,EDC,2022-02-13 21:25:48.000000,2022-02-13 23:22:25.108000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-02-13 23:16:01.000000
Протечка с кровли,NG,2022-01-24 17:39:26.700000,2022-01-25 09:59:08.321000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-01-25 08:20:15.280000
Аварийная протечка с кровли,EDC,2022-02-13 11:46:38.000000,2022-02-13 18:34:10.091000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-02-13 18:25:38.000000
Аварийная протечка с кровли,EDC,2022-02-13 06:15:20.000000,2022-02-13 18:25:04.766000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-02-13 18:20:45.000000
Аварийная протечка в подъезде,EDC,2022-01-24 11:34:24.000000,2022-01-24 19:33:58.166000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-01-24 15:43:13.000000
Аварийная протечка с кровли,EDC,2022-02-11 09:13:17.000000,2022-02-12 08:27:42.616000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-02-12 08:18:12.000000
Аварийная протечка в подъезде,EDC,2022-02-10 07:59:38.000000,2022-02-10 11:43:24.195000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-02-10 11:28:05.000000
Протечка с кровли,EDC,2022-02-13 14:00:37.000000,2022-02-13 18:43:03.920000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-02-13 18:29:59.000000
Аварийная протечка с кровли,EDC,2022-02-11 10:50:30.000000,2022-02-12 09:42:51.189000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,2022-02-12 09:36:55.000000
Отсутствие ГВС в доме,NG,2022-06-27 14:15:13.650000,2022-06-27 20:24:54.253000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-05-16 11:07:10.000000,2022-05-16 08:07:57.047000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Повреждение системы электропроводки/щитового оборудования,MGI,2022-06-05 00:57:33.009000,2023-04-07 04:07:14.418000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные суточные значения,ASUPR,2022-06-15 03:04:22.000000,2022-06-15 01:22:47.787000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Открыт шкаф УСПД,ASUPR,2022-06-09 19:03:20.000000,2022-06-09 16:43:54.962000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Открыт шкаф УСПД,ASUPR,2022-06-09 14:48:40.000000,2022-06-09 11:48:58.049000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-06-08 10:34:16.000000,2022-06-08 10:12:56.607000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,MGI,2022-06-05 00:57:03.712000,2022-06-05 13:37:26.132000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,MGI,2022-06-05 00:56:55.794000,2022-06-05 13:37:25.908000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствие освещения в местах общего пользования,NG,2022-05-15 13:59:14.028000,2022-05-16 23:53:51.162000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Засор канализации,EDC,2022-05-04 11:06:43.000000,2022-05-04 19:02:51.598000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные суточные значения,ASUPR,2022-04-30 03:03:28.000000,2022-04-30 03:03:14.141000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-04-28 04:33:00.000000,2022-04-28 06:12:24.606000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-04-28 04:33:00.000000,2022-04-28 06:12:24.526000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Нет связи с УСПД,ASUPR,2022-04-17 01:34:52.000000,2022-04-17 03:58:36.803000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Повреждение элементов фасада,NG,2022-04-07 09:11:58.046000,2022-04-13 16:36:31.396000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Аварийная протечка с кровли,EDC,2022-04-10 14:28:41.000000,2022-04-10 16:09:54.982000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-04-09 16:05:31.000000,2022-04-09 19:33:16.303000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Температура ГВС ниже нормы,ASUPR,2022-06-24 14:16:09.000000,2022-06-24 11:16:47.026000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Загрязнение/замусоренность подъезда,MGI,2022-04-12 10:29:39.519000,2022-04-12 13:19:29.248000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,MGI,2022-04-12 10:29:31.441000,2022-04-12 14:04:51.988000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-04-13 00:04:09.000000,2022-04-12 21:04:41.021000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-04-17 02:34:18.000000,2022-04-17 10:02:53.361000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-04-17 00:14:29.000000,2022-04-17 04:02:44.078000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-04-17 00:14:29.000000,2022-04-17 04:02:44.031000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Нет питания УСПД,ASUPR,2022-04-17 07:20:04.000000,2022-04-17 04:50:07.336000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Нет питания УСПД,ASUPR,2022-04-26 17:09:50.000000,2022-04-26 14:10:37.050000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-04-30 23:33:50.000000,2022-05-01 13:02:55.761000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствие освещения в местах общего пользования,EDC,2022-05-05 15:22:45.000000,2022-05-05 17:10:14.950000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Загрязнение/замусоренность подъезда,EDC,2022-05-05 15:25:22.000000,2022-05-05 16:32:35.917000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Нет питания УСПД,ASUPR,2022-04-30 21:26:44.000000,2022-04-30 19:41:51.469000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Нет питания УСПД,ASUPR,2022-04-30 22:44:10.000000,2022-04-30 19:57:06.807000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-05-05 00:04:30.000000,2022-05-07 17:03:14.642000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Изменение конфигурации УСПД,ASUPR,2022-05-05 07:29:35.000000,2022-05-06 06:40:51.926000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные суточные значения,ASUPR,2022-05-16 03:04:17.000000,2022-05-16 01:23:08.696000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-05-25 10:05:05.000000,2022-05-26 15:32:39.308000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Повреждение элементов входной двери,EDC,2022-06-03 16:38:56.000000,2022-06-04 15:17:42.315000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Повреждение элементов фасада,MGI,2022-06-05 00:57:18.925000,2022-06-05 13:37:27.560000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,MGI,2022-06-05 00:57:11.270000,2022-06-05 13:37:25.802000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-06-08 10:34:16.000000,2022-06-08 10:12:56.712000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Открыт шкаф УСПД,ASUPR,2022-06-09 18:36:08.000000,2022-06-09 15:49:37.547000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Открыт шкаф УСПД,ASUPR,2022-06-09 19:01:45.000000,2022-06-09 16:03:10.550000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствует циркуляция ГВС,ASUPR,2022-06-24 13:45:48.000000,2022-06-24 15:05:20.894000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствие ГВС в доме,EDC,2022-06-26 18:52:02.000000,2022-06-26 20:23:54.527000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-06-14 20:04:59.000000,2022-06-25 11:03:07.982000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Низкий уровень сигнала GSM,ASUPR,2022-06-30 19:35:52.000000,2022-06-30 16:36:27.879000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствие ГВС в доме,EDC,2022-06-27 12:33:07.000000,2022-06-27 19:07:27.293000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствует циркуляция ГВС,ASUPR,2022-06-27 08:44:54.000000,2022-06-27 14:04:45.483000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствует циркуляция ГВС,ASUPR,2022-06-26 22:05:50.000000,2022-06-27 02:54:37.055000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Загрязнение/замусоренность подъезда,EDC,2022-06-24 14:35:24.000000,2022-06-24 15:37:17.946000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Температура ГВС ниже нормы,ASUPR,2022-06-22 13:55:04.000000,2022-06-22 10:55:36.198000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствует циркуляция ГВС,ASUPR,2022-06-22 13:45:20.000000,2022-06-22 12:05:08.960000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Аварийная протечка с кровли,EDC,2022-07-05 18:49:21.000000,2023-04-07 18:31:52.982000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Наличие крыс/мышей/насекомых в местах общего пользования,EDC,2022-07-13 10:21:04.000000,2023-04-11 01:06:52.442000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отклонение ГВС ниже нормы ночью (мониторинг),ASUPR,2022-07-21 03:35:38.000000,2022-07-21 00:37:37.362000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Критичное отклонение температуры ГВС ниже нормы ночью (мониторинг),ASUPR,2022-07-21 03:35:38.000000,2022-07-21 00:37:37.487000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Отсутствует циркуляция ГВС,ASUPR,2022-07-20 22:46:03.000000,2022-07-21 22:54:37.313000,ВАО,"внутригородская территория муниципальный округ Гольяново, Амурская улица, дом 16, корпус 1",527,
Засор мусоропровода,EDC,2022-01-03 15:01:50.000000,2022-01-03 16:06:53.555000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-03 15:54:01.000000
Лифт требует ремонта,EDC,2022-02-04 12:10:53.000000,2022-02-04 12:43:59.678000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-02-04 12:36:24.000000
Отсутствие освещения в местах общего пользования,EDC,2022-02-04 10:49:10.000000,2022-02-04 13:17:31.507000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-02-04 13:08:51.000000
Засор мусоропровода,EDC,2022-03-01 17:56:59.000000,2022-03-01 19:18:13.546000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Повреждение внутренней двери,EDC,2022-01-31 11:42:54.000000,2022-01-31 19:35:31.804000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-31 18:38:50.000000
Засор мусоропровода,EDC,2022-03-06 13:15:22.000000,2022-03-06 14:10:05.879000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Поломка лифта,EDC,2022-01-28 20:32:26.000000,2022-01-28 22:23:46.660000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-28 21:17:45.000000
Засор мусоропровода,EDC,2022-03-31 19:15:07.000000,2022-03-31 20:47:05.316000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие ГВС в доме,EDC,2022-03-12 13:33:42.000000,2022-03-12 14:16:25.160000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-03-06 16:58:10.000000,2022-03-06 19:13:03.175000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Загрязнение/замусоренность подъезда,EDC,2022-03-02 10:01:50.000000,2022-03-02 11:46:55.754000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-03-02 10:00:51.000000,2022-03-02 10:45:44.078000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-02-08 20:10:32.000000,2022-02-08 21:18:03.959000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-02-08 21:07:07.000000
Наличие грибка/плесени,EDC,2022-02-08 19:04:34.000000,2022-02-09 12:52:07.819000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-02-09 12:43:25.000000
Лифт требует ремонта,EDC,2022-02-04 12:08:16.000000,2022-02-04 12:43:53.293000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-02-04 12:35:18.000000
Лифт требует ремонта,EDC,2022-02-04 08:49:27.000000,2022-02-04 09:33:30.876000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-02-04 09:24:09.000000
Отсутствие освещения в местах общего пользования,EDC,2022-01-26 10:52:41.000000,2022-01-26 19:33:57.279000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-26 18:27:35.000000
Лифт требует ремонта,EDC,2022-01-15 23:17:06.000000,2022-01-16 00:17:39.128000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-15 23:31:06.000000
Засор мусоропровода,EDC,2022-01-08 09:29:36.000000,2022-01-08 10:51:51.625000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-08 10:30:02.000000
Отсутствие освещения в местах общего пользования,EDC,2022-02-08 13:44:50.000000,2022-02-08 17:08:43.339000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-02-08 16:55:58.000000
Отсутствие освещения в местах общего пользования,EDC,2022-01-31 10:58:17.000000,2022-01-31 16:39:01.797000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-31 15:02:31.000000
Лифт требует ремонта,EDC,2022-01-27 21:31:36.000000,2022-01-28 09:45:09.053000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-28 08:28:56.000000
Повреждение элементов входной двери,EDC,2022-03-13 22:25:35.000000,2022-03-15 02:44:46.430000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-03-13 22:24:36.000000,2022-03-15 04:29:22.609000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-02-13 12:50:23.000000,2022-02-13 17:51:24.774000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-02-13 17:43:36.000000
Лифт требует ремонта,EDC,2022-01-23 16:11:13.000000,2022-01-23 19:34:56.596000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,2022-01-23 17:47:48.000000
Засор мусоропровода,EDC,2022-04-02 12:19:01.000000,2022-04-02 13:28:40.150000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Поломка лифта,NG,2022-06-02 11:39:50.522000,2023-04-07 14:38:09.620000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-04-19 19:47:40.000000,2022-04-19 20:49:08.049000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Неисправность пожарной сигнализации,EDC,2022-06-06 16:24:32.000000,2023-04-09 02:14:53.890000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Неисправность пожарной сигнализации,EDC,2022-06-13 13:06:15.000000,2023-02-19 01:14:49.767000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-06-15 15:28:05.000000,2022-06-16 01:29:23.079000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-06-05 21:56:01.000000,2022-06-05 23:16:12.380000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-06-02 14:20:21.000000,2022-06-02 20:54:30.491000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-05-31 12:17:57.000000,2022-05-31 15:59:30.318000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-05-12 10:31:15.000000,2022-05-12 19:30:22.978000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в лифте,EDC,2022-05-05 16:12:42.000000,2022-05-05 17:10:23.292000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-05-05 16:03:34.000000,2022-05-05 17:10:34.823000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Застревание в лифте,EDC,2022-04-10 14:27:33.000000,2022-04-10 15:08:50.164000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-06-14 12:26:37.000000,2022-06-14 13:57:47.502000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-06-15 15:37:17.000000,2022-06-15 16:29:41.084000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-04-10 12:55:56.000000,2022-04-10 22:46:45.663000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Застревание в лифте,EDC,2022-04-10 15:10:01.000000,2022-04-10 15:50:27.691000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Застревание в лифте,EDC,2022-04-10 15:21:59.000000,2022-04-10 16:09:55.054000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Поломка лифта,EDC,2022-04-18 13:16:23.000000,2022-04-19 10:30:59.019000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-04-18 09:03:23.000000,2022-04-18 12:50:26.648000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-04-18 09:23:50.000000,2022-04-18 12:50:27.466000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Повреждение системы электропроводки/щитового оборудования,EDC,2022-04-18 10:33:17.000000,2022-04-18 12:25:12.889000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,NG,2022-04-18 15:33:53.282000,2022-04-19 14:42:54.979000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие ГВС в доме,EDC,2022-05-02 15:47:28.000000,2022-05-02 17:06:34.042000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Поломка лифта,EDC,2022-04-30 15:32:29.000000,2022-04-30 19:48:21.107000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в лифте,EDC,2022-04-30 15:30:12.000000,2022-04-30 19:48:17.537000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-05-05 16:17:04.000000,2022-05-05 17:10:23.130000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-05-05 16:05:34.000000,2022-05-05 16:53:00.788000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Поломка лифта,EDC,2022-05-05 16:10:33.000000,2022-05-05 16:53:09.453000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-05-16 09:59:15.000000,2022-05-16 15:34:31.955000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в лифте,EDC,2022-05-17 16:48:53.000000,2022-05-18 08:50:38.424000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие ГВС в доме,EDC,2022-05-18 13:25:52.000000,2022-05-18 15:27:08.014000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие ГВС в доме,EDC,2022-05-17 21:29:07.000000,2022-05-17 22:02:39.254000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-06-02 17:36:05.000000,2022-06-02 20:59:06.951000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-05-31 13:13:36.000000,2022-05-31 16:08:07.342000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-06-30 15:25:11.000000,2022-06-30 18:39:17.167000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-06-30 09:41:02.000000,2022-06-30 18:38:04.548000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-06-28 11:33:34.000000,2022-06-28 17:26:04.505000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие ХВС в доме,EDC,2022-06-22 12:10:26.000000,2022-06-22 18:44:49.362000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-09-15 08:59:08.000000,2023-04-10 01:15:02.677000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,NG,2022-07-12 15:01:39.927000,2022-07-13 23:36:18.443000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-07-28 19:42:05.000000,2023-04-09 03:26:19.739000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-07-27 08:43:58.000000,2023-04-08 01:56:08.989000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-08-03 10:49:23.000000,2023-04-08 04:57:29.743000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-08-03 10:55:01.000000,2023-04-10 01:47:55.034000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
